﻿Rank,Company Name,Ticker Symbol,Market Cap ($B)
1,APPLE INC.,AAPL,2610.94
2,MICROSOFT CORPORATION,MSFT,2127.14
3,ALPHABET INC.,GOOG,1356.39
4,"AMAZON.COM, INC.",AMZN,1097.2
5,"BERKSHIRE HATHAWAY INC.,",BRK.A,722.62
6,NVIDIA CORPORATION,NVDA,669.84
7,"Meta Platforms, Inc.",META,546.14
8,"TESLA, INC.",TSLA,523.19
9,VISA INC.,V,481.33
10,EXXON MOBIL CORPORATION,XOM,470.92
11,UNITEDHEALTH GROUP INCORPORATED,UNH,451.33
12,JOHNSON & JOHNSON,JNJ,422.73
13,JPMORGAN CHASE & CO.,JPM,411.99
14,WALMART INC.,WMT,409.01
15,THE PROCTER & GAMBLE COMPANY,PG,368.19
16,ELI LILLY AND COMPANY,LLY,366.88
17,MASTERCARD INCORPORATED.,MA,357.69
18,CHEVRON CORPORATION,CVX,320.42
19,"THE HOME DEPOT, INC.",HD,303.84
20,"MERCK & CO., INC.",MRK,292.77
21,ABBVIE INC.,ABBV,286.51
22,THE COCA-COLA COMPANY,KO,277.1
23,Broadcom Inc.,AVGO,263.87
24,ORACLE CORPORATION,ORCL,256.89
25,"PEPSICO, INC.",PEP,255.37
26,BANK OF AMERICA CORPORATION,BAC,238.94
27,PFIZER INC.,PFE,226.96
28,COSTCO WHOLESALE CORPORATION,COST,224.56
29,THERMO FISHER SCIENTIFIC INC.,TMO,220.5
30,MCDONALD'S CORPORATION,MCD,213.21
31,"SALESFORCE, INC.",CRM,199.03
32,ABBOTT LABORATORIES,ABT,194.06
33,"NIKE, INC.",NKE,192.94
34,"CISCO SYSTEMS, INC.",CSCO,192.63
35,DANAHER CORPORATION,DHR,184.33
36,THE WALT DISNEY COMPANY,DIS,181.9
37,LINDE PUBLIC LIMITED COMPANY,LIN,179.72
38,ACCENTURE PUBLIC LIMITED COMPANY,ACN,174.51
39,ADOBE INC.,ADBE,173.24
40,"UNITED PARCEL SERVICE, INC.",UPS,167.23
41,TEXAS INSTRUMENTS INCORPORATED,TXN,160.62
42,"NEXTERA ENERGY, INC.",NEE,159.83
43,COMCAST CORPORATION,CMCSA,159.11
44,VERIZON COMMUNICATIONS INC.,VZ,156.74
45,WELLS FARGO & COMPANY,WFC,155.19
46,MORGAN STANLEY,MS,152.17
47,Philip Morris International Inc.,PM,151.75
48,BRISTOL-MYERS SQUIBB COMPANY,BMY,148.26
49,"NETFLIX, INC.",NFLX,146.06
50,"ADVANCED MICRO DEVICES, INC.",AMD,142.32
